Month,Points,Ranking,Team
2023-07-01,1779,23,Aston Villa FC
2023-08-01,1779,23,Aston Villa FC
2023-09-01,1788,20,Aston Villa FC
2023-10-01,1818,16,Aston Villa FC
2023-11-01,1835,16,Aston Villa FC
2023-12-01,1830,18,Aston Villa FC
2024-01-01,1841,16,Aston Villa FC
2024-02-01,1801,20,Aston Villa FC
2024-03-01,1808,18,Aston Villa FC
2024-04-01,1793,19,Aston Villa FC
2024-05-01,1814,18,Aston Villa FC
2024-06-01,1744,38,Aston Villa FC
2024-07-01,1744,36,Aston Villa FC
2024-08-01,1744,35,Aston Villa FC
2024-09-01,1756,27,Aston Villa FC
2024-10-01,1783,22,Aston Villa FC
2024-11-01,1817,19,Aston Villa FC
2024-12-01,1762,33,Aston Villa FC
2025-01-01,1755,33,Aston Villa FC
2025-02-01,1777,22,Aston Villa FC
2025-03-01,1737,40,Aston Villa FC
2025-04-01,1809,14,Aston Villa FC
2025-05-01,1874,10,Aston Villa FC
2025-06-01,1871,11,Aston Villa FC
2025-07-01,1871,12,Aston Villa FC
2025-08-01,1871,12,Aston Villa FC
2025-09-01,1819,21,Aston Villa FC
2025-10-01,1853,12,Aston Villa FC
2025-11-01,1866,12,Aston Villa FC
2010-02-01,1500,221,Brentford FC
2010-03-01,1500,227,Brentford FC
2010-04-01,1500,228,Brentford FC
2010-05-01,1500,227,Brentford FC
2010-06-01,1500,221,Brentford FC
2010-07-01,1500,223,Brentford FC
2010-08-01,1500,225,Brentford FC
2010-09-01,1500,232,Brentford FC
2010-10-01,1500,239,Brentford FC
2010-11-01,1500,236,Brentford FC
2010-12-01,1500,242,Brentford FC
2011-01-01,1500,239,Brentford FC
2011-02-01,1500,237,Brentford FC
2011-03-01,1500,242,Brentford FC
2011-04-01,1500,240,Brentford FC
2011-05-01,1500,240,Brentford FC
2011-06-01,1500,243,Brentford FC
2011-07-01,1500,238,Brentford FC
2011-08-01,1500,243,Brentford FC
2011-09-01,1500,247,Brentford FC
2011-10-01,1500,243,Brentford FC
2011-11-01,1500,246,Brentford FC
2011-12-01,1500,242,Brentford FC
2012-01-01,1500,237,Brentford FC
2012-02-01,1500,242,Brentford FC
2012-03-01,1500,241,Brentford FC
2012-04-01,1500,235,Brentford FC
2012-05-01,1500,236,Brentford FC
2012-06-01,1500,243,Brentford FC
2012-07-01,1500,240,Brentford FC
2012-08-01,1500,239,Brentford FC
2012-09-01,1500,242,Brentford FC
2012-10-01,1500,237,Brentford FC
2012-11-01,1500,245,Brentford FC
2012-12-01,1500,243,Brentford FC
2013-01-01,1500,240,Brentford FC
2013-02-01,1500,246,Brentford FC
2013-03-01,1500,243,Brentford FC
2013-04-01,1500,250,Brentford FC
2013-05-01,1500,249,Brentford FC
2013-06-01,1500,254,Brentford FC
2013-07-01,1500,255,Brentford FC
2013-08-01,1500,249,Brentford FC
2013-09-01,1500,246,Brentford FC
2013-10-01,1500,244,Brentford FC
2013-11-01,1500,251,Brentford FC
2013-12-01,1500,259,Brentford FC
2014-01-01,1500,253,Brentford FC
2014-02-01,1500,254,Brentford FC
2014-03-01,1500,250,Brentford FC
2014-04-01,1500,250,Brentford FC
2014-05-01,1500,251,Brentford FC
2014-06-01,1500,255,Brentford FC
2014-07-01,1500,253,Brentford FC
2014-08-01,1500,257,Brentford FC
2014-09-01,1500,255,Brentford FC
2014-10-01,1500,254,Brentford FC
2014-11-01,1500,253,Brentford FC
2014-12-01,1500,248,Brentford FC
2015-01-01,1500,246,Brentford FC
2015-02-01,1500,249,Brentford FC
2015-03-01,1500,254,Brentford FC
2015-04-01,1500,249,Brentford FC
2015-05-01,1500,244,Brentford FC
2015-06-01,1500,251,Brentford FC
2015-07-01,1500,253,Brentford FC
2015-08-01,1500,257,Brentford FC
2015-09-01,1500,260,Brentford FC
2015-10-01,1500,261,Brentford FC
2015-11-01,1500,254,Brentford FC
2015-12-01,1500,260,Brentford FC
2016-01-01,1500,262,Brentford FC
2016-02-01,1500,267,Brentford FC
2016-03-01,1500,266,Brentford FC
2016-04-01,1500,271,Brentford FC
2016-05-01,1500,266,Brentford FC
2016-06-01,1500,270,Brentford FC
2016-07-01,1500,270,Brentford FC
2016-08-01,1500,265,Brentford FC
2016-09-01,1500,273,Brentford FC
2016-10-01,1500,268,Brentford FC
2016-11-01,1500,268,Brentford FC
2016-12-01,1500,269,Brentford FC
2017-01-01,1500,268,Brentford FC
2017-02-01,1500,267,Brentford FC
2017-03-01,1500,267,Brentford FC
